EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
246,2024-12-21 16:48:32,tcp,192.168.43.41,4900,192.168.43.13,34710
247,2024-12-21 16:48:32,tcp,192.168.43.41,10778,192.168.43.13,34710
248,2024-12-21 16:48:32,tcp,192.168.43.41,1192,192.168.43.13,34710
249,2024-12-21 16:48:32,tcp,192.168.43.41,2020,192.168.43.13,34710
250,2024-12-21 16:48:32,tcp,192.168.43.41,20,192.168.43.13,34710
251,2024-12-21 16:48:32,tcp,192.168.43.41,1102,192.168.43.13,34710
252,2024-12-21 16:48:32,tcp,192.168.43.41,1126,192.168.43.13,34710
253,2024-12-21 16:48:32,tcp,192.168.43.41,1443,192.168.43.13,34710
254,2024-12-21 16:48:32,tcp,192.168.43.41,2869,192.168.43.13,34710
255,2024-12-21 16:48:32,tcp,192.168.43.41,8400,192.168.43.13,34710
256,2024-12-21 16:48:32,tcp,192.168.43.41,1105,192.168.43.13,34710
257,2024-12-21 16:48:32,tcp,192.168.43.41,10629,192.168.43.13,34710
258,2024-12-21 16:48:32,tcp,192.168.43.41,8200,192.168.43.13,34710
259,2024-12-21 16:48:32,tcp,192.168.43.41,5298,192.168.43.13,34710
260,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1247
261,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,11967
262,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,22939
263,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,32780
264,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,26214
265,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,9503
266,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,10002
267,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,4449
268,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,593
269,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,8022
270,2024-12-21 16:48:32,tcp,192.168.43.41,1247,192.168.43.13,34710
271,2024-12-21 16:48:32,tcp,192.168.43.41,11967,192.168.43.13,34710
272,2024-12-21 16:48:32,tcp,192.168.43.41,22939,192.168.43.13,34710
273,2024-12-21 16:48:32,tcp,192.168.43.41,32780,192.168.43.13,34710
274,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1056
275,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,2968
276,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,12345
277,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,3814
278,2024-12-21 16:48:32,tcp,192.168.43.41,26214,192.168.43.13,34710
279,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,407
280,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,1026
281,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,301
282,2024-12-21 16:48:32,tcp,192.168.43.41,9503,192.168.43.13,34710
283,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,50002
284,2024-12-21 16:48:32,tcp,192.168.43.41,10002,192.168.43.13,34710
285,2024-12-21 16:48:32,tcp,192.168.43.41,4449,192.168.43.13,34710
286,2024-12-21 16:48:32,tcp,192.168.43.41,593,192.168.43.13,34710
287,2024-12-21 16:48:32,tcp,192.168.43.41,8022,192.168.43.13,34710
288,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,777
289,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,13456
290,2024-12-21 16:48:32,tcp,192.168.43.41,1056,192.168.43.13,34710
291,2024-12-21 16:48:32,tcp,192.168.43.41,2968,192.168.43.13,34710
292,2024-12-21 16:48:32,tcp,192.168.43.41,12345,192.168.43.13,34710
293,2024-12-21 16:48:32,tcp,192.168.43.41,3814,192.168.43.13,34710
294,2024-12-21 16:48:32,tcp,192.168.43.41,407,192.168.43.13,34710
295,2024-12-21 16:48:32,tcp,192.168.43.41,1026,192.168.43.13,34710
296,2024-12-21 16:48:32,tcp,192.168.43.41,301,192.168.43.13,34710
297,2024-12-21 16:48:32,tcp,192.168.43.41,50002,192.168.43.13,34710
298,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,3920
299,2024-12-21 16:48:32,tcp,192.168.43.13,34710,192.168.43.41,32768
